# node_id image_frame_id timestamp raw_x raw_y raw_z opt_x opt_y opt_z gt_x gt_y gt_z
0 64 1780458771.986382008 0.000148932 0.001719486 0.001266452 0.000148932 0.001719486 0.001266452 0.000000000 0.000000004 0.000000000
1 65 1780458772.049819946 0.000148932 0.001719486 0.001266452 0.000902580 0.000692527 0.001457161 0.000000000 0.000000004 0.000000000
2 66 1780458772.132023573 -0.001476761 0.003243353 0.000848975 0.000030947 0.001190091 0.001231178 0.000000000 0.000000004 0.000000000
3 67 1780458772.198467016 -0.002569638 0.004912439 0.000787041 -0.000306929 0.001833138 0.001360890 0.000000000 0.000000004 0.000000000
4 68 1780458772.282965183 -0.002589737 0.006120573 0.001180367 0.000428837 0.002014447 0.001944623 0.000000000 0.000000004 0.000000000
5 69 1780458772.357574701 -0.002589737 0.006120573 0.001180367 0.001182485 0.000987489 0.002135331 0.000000000 0.000000004 0.000000000
6 70 1780458772.442164660 -0.003921130 0.006499135 0.002400369 0.000609030 0.000342489 0.003549653 0.000000000 0.000000004 0.000000000
7 71 1780458772.532462120 -0.004363662 0.008444531 0.003120293 0.000927584 0.001262448 0.004460705 0.000000000 0.000000004 0.000000000
8 72 1780458772.605186224 -0.004363662 0.008444531 0.003120293 0.001681232 0.000235490 0.004651414 0.000000000 0.000000004 0.000000000
9 73 1780458772.685024738 -0.004552880 0.010397310 0.002099384 0.002247667 0.001161197 0.003820626 0.000000000 0.000000004 0.000000000
10 74 1780458772.776543617 -0.005124335 0.012147519 0.002488083 0.002438573 0.001886947 0.004401480 0.000000000 0.000000004 0.000000000
11 75 1780458772.856475592 -0.007096902 0.014258588 0.002794918 0.001230440 0.002979727 0.004908265 0.000000000 0.000000004 0.000000000
12 76 1780458772.940045118 -0.007028457 0.014510377 0.002538525 0.002052104 0.002203977 0.004841897 0.000000000 0.000000004 0.000000000
13 77 1780458773.005376101 -0.006970537 0.015065987 0.003159603 0.002870753 0.001733004 0.005652644 0.000000000 0.000000004 0.000000000
14 78 1780458773.085057020 -0.006840910 0.015753022 0.003552527 0.003760733 0.001392819 0.006234464 0.000000000 0.000000004 0.000000000
15 79 1780458773.160506487 -0.006840910 0.015753022 0.003552527 0.004514382 0.000365861 0.006425173 0.000000000 0.000000004 0.000000000
16 80 1780458773.230401993 -0.006769123 0.016842307 0.003081133 0.005342738 0.000427061 0.006142344 0.000000000 0.000000004 0.000000000
17 81 1780458773.296576023 -0.007193298 0.017066771 0.002485419 0.005668338 -0.000373412 0.005740884 0.000000000 0.000000004 0.000000000
18 82 1780458773.367822409 -0.008488531 0.018229589 0.002585179 0.005136221 -0.000228046 0.006041996 0.000000000 0.000000004 0.000000000
19 83 1780458773.444726467 -0.007999908 0.018146455 0.001083329 0.006362420 -0.001344337 0.004726075 0.000000000 0.000000004 0.000000000
20 84 1780458773.529570818 -0.008162796 0.019041894 0.001111118 0.006960730 -0.001474520 0.004944711 0.000000000 0.000000004 0.000000000
21 85 1780458773.585962296 -0.008162796 0.019041894 0.001111118 0.007714379 -0.002501477 0.005135420 0.001449946 0.000000004 0.000000000
22 86 1780458773.671199083 -0.007251970 0.019883622 0.001037856 0.009385388 -0.002695033 0.005240305 0.004449946 0.000000004 0.000000000
23 87 1780458773.755739212 -0.006251490 0.020648486 0.003248675 0.011174250 -0.002962151 0.007627527 0.007799891 0.000000004 0.000000000
24 88 1780458773.831255198 -0.006456922 0.022302605 0.002726932 0.011731823 -0.002334142 0.007295582 0.013799891 0.000000004 0.000000000
25 89 1780458773.906966686 -0.004827384 0.022237503 0.002487542 0.014110835 -0.003443379 0.007224833 0.019049837 0.000000004 0.000000000
26 90 1780458773.980314493 -0.002349889 0.024931162 0.001299007 0.017353259 -0.001805898 0.006185441 0.028049836 0.000000004 0.000000000
27 91 1780458774.059134483 0.001062497 0.027164207 -0.000647141 0.021514532 -0.000642291 0.004374186 0.034049836 0.000000004 0.000000000
28 92 1780458774.131057024 0.004453541 0.028288705 -0.002725798 0.025639508 -0.000588851 0.002431502 0.043049836 0.000000004 0.000000000
29 93 1780458774.209062576 0.005546013 0.029179100 -0.003009155 0.027491463 -0.000739213 0.002319093 0.049049836 0.000000004 0.000000000
30 94 1780458774.281400919 0.006412392 0.028950165 -0.005587215 0.029065885 -0.002012469 -0.000081545 0.058053980 -0.000003124 0.000000000
31 95 1780458774.352804184 0.008831317 0.027811970 -0.006053318 0.032215469 -0.004209640 -0.000394844 0.064094605 -0.000034222 0.000000000
32 96 1780458774.426659346 0.015094916 0.027830671 -0.002967569 0.039285967 -0.005291927 0.002770622 0.073231062 -0.000141489 0.000000000
