# kf_id image_frame_id dense_node_id timestamp num_keypoints
0 64 0 1780458771.986382008 492
1 123 59 1780458776.492808104 490
2 138 74 1780458777.613943577 494
3 153 89 1780458778.794262886 500
4 167 103 1780458779.849534750 500
5 182 118 1780458781.007825851 500
6 196 132 1780458782.050653219 500
7 209 145 1780458783.043518782 500
8 222 158 1780458784.031095505 500
9 234 170 1780458784.950071573 500
10 246 182 1780458785.852412462 500
11 257 193 1780458786.692892551 500
12 268 204 1780458787.544763327 500
13 281 217 1780458788.546625853 500
14 293 229 1780458789.475626707 500
15 305 241 1780458790.379684687 500
16 320 256 1780458791.548100710 500
17 335 271 1780458792.694905281 500
18 351 287 1780458793.910213232 500
19 367 303 1780458795.139124632 500
20 383 319 1780458796.332028627 500
21 398 334 1780458797.458691835 500
22 413 349 1780458798.597642899 500
23 426 362 1780458799.590130091 500
24 439 375 1780458800.585223675 500
25 450 386 1780458801.408136129 500
26 460 396 1780458802.158863544 500
27 470 406 1780458802.895146608 500
28 479 415 1780458803.593396187 500
29 491 427 1780458804.513095140 499
30 503 439 1780458805.427258730 500
31 516 452 1780458806.429105043 500
32 527 463 1780458807.248909473 500
33 540 476 1780458808.212578297 500
34 552 488 1780458809.112579584 500
35 563 499 1780458809.951217890 500
36 573 509 1780458810.700149536 500
37 582 518 1780458811.383054733 500
38 592 528 1780458812.143549919 500
39 602 538 1780458812.910780668 500
40 611 547 1780458813.585007429 500
41 620 556 1780458814.254513025 500
42 629 565 1780458814.950704575 500
43 641 577 1780458815.848420858 500
44 652 588 1780458816.700111151 500
45 665 601 1780458817.662253618 500
46 676 612 1780458818.513488293 500
47 689 625 1780458819.508549452 500
48 700 636 1780458820.343186140 500
49 711 647 1780458821.166465759 500
50 726 662 1780458822.322389603 500
51 750 686 1780458824.173259735 500
52 774 710 1780458825.998604059 500
53 797 733 1780458827.855161905 500
54 823 759 1780458829.853595495 496
