# node_id image_frame_id timestamp raw_x raw_y raw_z opt_x opt_y opt_z gt_x gt_y gt_z
0 64 1780458771.986382008 0.000148932 0.001719486 0.001266452 0.000148932 0.001719486 0.001266452 0.000000000 0.000000004 0.000000000
1 65 1780458772.049819946 0.000148932 0.001719486 0.001266452 0.001116857 0.000427759 0.001598454 0.000000000 0.000000004 0.000000000
2 66 1780458772.132023573 -0.001476761 0.003243353 0.000848975 0.000459600 0.000660722 0.001513993 0.000000000 0.000000004 0.000000000
3 67 1780458772.198467016 -0.002569638 0.004912439 0.000787041 0.000336346 0.001039237 0.001785275 0.000000000 0.000000004 0.000000000
4 68 1780458772.282965183 -0.002589737 0.006120573 0.001180367 0.001286974 0.000955810 0.002510228 0.000000000 0.000000004 0.000000000
5 69 1780458772.357574701 -0.002589737 0.006120573 0.001180367 0.002254898 -0.000335916 0.002842231 0.000000000 0.000000004 0.000000000
6 70 1780458772.442164660 -0.003921130 0.006499135 0.002400369 0.001896914 -0.001244824 0.004398871 0.000000000 0.000000004 0.000000000
7 71 1780458772.532462120 -0.004363662 0.008444531 0.003120293 0.002431713 -0.000589253 0.005451373 0.000000000 0.000000004 0.000000000
8 72 1780458772.605186224 -0.004363662 0.008444531 0.003120293 0.003399638 -0.001880979 0.005783375 0.000000000 0.000000004 0.000000000
9 73 1780458772.685024738 -0.004552880 0.010397310 0.002099384 0.004180737 -0.001220062 0.005093769 0.000000000 0.000000004 0.000000000
10 74 1780458772.776543617 -0.005124335 0.012147519 0.002488083 0.004588204 -0.000758451 0.005816375 0.000000000 0.000000004 0.000000000
11 75 1780458772.856475592 -0.007096902 0.014258588 0.002794918 0.003597170 0.000071769 0.006467129 0.000000000 0.000000004 0.000000000
12 76 1780458772.940045118 -0.007028457 0.014510377 0.002538525 0.004632955 -0.000968895 0.006541872 0.000000000 0.000000004 0.000000000
13 77 1780458773.005376101 -0.006970537 0.015065987 0.003159603 0.005667804 -0.001704555 0.007493635 0.000000000 0.000000004 0.000000000
14 78 1780458773.085057020 -0.006840910 0.015753022 0.003552527 0.006773850 -0.002309589 0.008216260 0.000000000 0.000000004 0.000000000
15 79 1780458773.160506487 -0.006840910 0.015753022 0.003552527 0.007741774 -0.003601316 0.008548262 0.000000000 0.000000004 0.000000000
16 80 1780458773.230401993 -0.006769123 0.016842307 0.003081133 0.008785041 -0.003805168 0.008406176 0.000000000 0.000000004 0.000000000
17 81 1780458773.296576023 -0.007193298 0.017066771 0.002485419 0.009323789 -0.004869878 0.008147031 0.000000000 0.000000004 0.000000000
18 82 1780458773.367822409 -0.008488531 0.018229589 0.002585179 0.009008426 -0.004986860 0.008592496 0.000000000 0.000000004 0.000000000
19 83 1780458773.444726467 -0.007999908 0.018146455 0.001083329 0.010444361 -0.006369458 0.007416545 0.000000000 0.000000004 0.000000000
20 84 1780458773.529570818 -0.008162796 0.019041894 0.001111118 0.011258887 -0.006764078 0.007776560 0.000000000 0.000000004 0.000000000
21 85 1780458773.585962296 -0.008162796 0.019041894 0.001111118 0.012226811 -0.008055805 0.008108563 0.001449946 0.000000004 0.000000000
22 86 1780458773.671199083 -0.007251970 0.019883622 0.001037856 0.014113703 -0.008516270 0.008351243 0.004449946 0.000000004 0.000000000
23 87 1780458773.755739212 -0.006251490 0.020648486 0.003248675 0.016126422 -0.009049550 0.010875700 0.007799891 0.000000004 0.000000000
24 88 1780458773.831255198 -0.006456922 0.022302605 0.002726932 0.016900480 -0.008686096 0.010684904 0.013799891 0.000000004 0.000000000
25 89 1780458773.906966686 -0.004827384 0.022237503 0.002487542 0.019492525 -0.010064489 0.010749225 0.019049837 0.000000004 0.000000000
