# kf_id image_frame_id node_id raw_x raw_y raw_z direct_x direct_y direct_z gt_x gt_y gt_z raw_direct_error gt_direct_error gt_raw_error
0 64 0 0.000148932 0.001719486 0.001266452 0.000148932 0.001719486 0.001266452 0.000000000 0.000000004 0.000000000 0.000000000 0.002140724 0.002140724
1 123 59 0.193653229 0.029042851 -0.004097138 0.256821954 -0.061013702 0.006754664 0.265745672 -0.034051211 0.000000000 0.110536112 0.029193050 0.095890393
2 138 74 0.333888654 0.011613306 0.014079571 0.375521970 -0.142510795 0.007847620 0.387225641 -0.081814362 0.000000000 0.159769862 0.062310658 0.108497916
3 153 89 0.452662708 -0.016947921 0.024549139 0.479605361 -0.240607149 0.004118496 0.500048673 -0.148221454 0.000000000 0.226200725 0.094710125 0.141706847
4 167 103 0.554557690 -0.065664454 0.043596183 0.562911546 -0.346660765 0.002804067 0.598017822 -0.226043526 0.000000000 0.284064624 0.125653618 0.171787243
5 182 118 0.650664194 -0.136641280 0.063522237 0.637958299 -0.476830363 0.001444181 0.696711392 -0.327025863 0.000000000 0.346040080 0.160920477 0.205916751
6 196 132 0.775848565 -0.221282484 0.086183805 0.699090793 -0.609889831 0.006970331 0.778994459 -0.434492728 0.000000000 0.403958166 0.192866081 0.229991637
7 209 145 0.899177631 -0.327191462 0.112868528 0.754042873 -0.747510114 0.009952871 0.845514118 -0.544449726 0.000000000 0.456424693 0.222934003 0.250639643
8 222 158 1.027477957 -0.458301251 0.138595019 0.795842025 -0.902055115 0.010994841 0.903794788 -0.669248862 0.000000000 0.516579619 0.256852948 0.281078282
9 234 170 1.161719241 -0.608223855 0.174009503 0.848527929 -1.061500923 0.012310040 0.946097073 -0.792581267 0.000000000 0.574191270 0.286337312 0.332806072
10 246 182 1.231211060 -0.745996987 0.208600238 0.851322048 -1.209287707 0.009855423 0.976425433 -0.924293621 0.000000000 0.631231696 0.311399447 0.374458896
11 257 193 1.315429513 -0.883164807 0.246377957 0.846016038 -1.324148130 0.010425481 0.994459218 -1.021438573 0.000000000 0.685921914 0.337308678 0.427602224
12 268 204 1.355992977 -0.982207304 0.254086946 0.862635194 -1.464492005 -0.003647291 1.003158381 -1.109045846 0.000000000 0.736496688 0.382232967 0.452924325
13 281 217 1.347383372 -1.114103327 0.234527918 0.915402921 -1.635586001 -0.010938294 1.002007967 -1.216912233 0.000000000 0.720281161 0.427677220 0.429950213
14 293 229 1.320108896 -1.221971236 0.224975398 0.865969760 -1.736474489 -0.010388270 0.990144611 -1.310957210 0.000000000 0.725501212 0.443387263 0.409156281
15 305 241 1.294890244 -1.333314509 0.219603362 0.802908219 -1.830669213 -0.010333208 0.965107217 -1.407270944 0.000000000 0.736395845 0.453521096 0.403053391
16 320 256 1.239082892 -1.466576669 0.201654656 0.704010650 -1.948024307 -0.011984153 0.913084096 -1.527198510 0.000000000 0.750823330 0.470052845 0.388091256
17 335 271 1.156235809 -1.623286363 0.183175121 0.593365855 -2.052927610 -0.016066004 0.844726340 -1.635925810 0.000000000 0.735602618 0.487165999 0.361595119
18 351 287 1.071877009 -1.749436191 0.178855180 0.461792047 -2.148121535 -0.016765001 0.750141337 -1.749472126 0.000000000 0.754599840 0.492288258 0.368107347
19 367 303 0.972483648 -1.868473012 0.173182959 0.312097954 -2.228294580 -0.019485185 0.639010152 -1.850700694 0.000000000 0.776338740 0.499828371 0.376181824
20 383 319 0.855482271 -1.978772160 0.161554330 0.155509305 -2.285661013 -0.015507773 0.513463394 -1.938298996 0.000000000 0.784534199 0.499031052 0.380413973
21 398 334 0.733689332 -2.064284872 0.154250596 -0.002026665 -2.324292120 -0.013677434 0.375378748 -2.010733781 0.000000000 0.798173929 0.490857158 0.393760639
22 413 349 0.600241906 -2.140988133 0.149855530 -0.179017619 -2.343850587 -0.013945720 0.226347195 -2.066414293 0.000000000 0.821723452 0.491412263 0.409652527
23 426 362 0.470375975 -2.202315791 0.142638740 -0.335004544 -2.338228559 -0.011099304 0.082014873 -2.101156895 0.000000000 0.831110971 0.479824304 0.425914636
24 439 375 0.358675598 -2.252104456 0.128596944 -0.464012987 -2.316217750 -0.011583198 -0.029674219 -2.121603415 0.000000000 0.837005075 0.476087256 0.429398738
25 450 386 0.243853825 -2.294873669 0.112928455 -0.583512414 -2.281256855 -0.011895119 -0.142828393 -2.130380914 0.000000000 0.836840030 0.465947904 0.435125086
26 460 396 0.135184118 -2.326732392 0.100879420 -0.689262946 -2.235625680 -0.011812359 -0.244899030 -2.125796622 0.000000000 0.837085917 0.457887808 0.441605073
27 470 406 0.029486273 -2.352278096 0.086561456 -0.788744876 -2.177258789 -0.011454162 -0.345808959 -2.109173482 0.000000000 0.842461294 0.448284545 0.455454992
28 479 415 -0.092605339 -2.369146110 0.065200272 -0.871989149 -2.114831506 -0.009879673 -0.433899572 -2.081985891 0.000000000 0.823256970 0.439430221 0.450770252
29 491 427 -0.228120629 -2.350478470 0.039478111 -0.983049072 -2.013354224 -0.012100881 -0.554834859 -2.024243562 0.000000000 0.828390068 0.428523536 0.463389603
30 503 439 -0.374885196 -2.349779207 0.004966296 -1.088033147 -1.902689860 -0.016542417 -0.660128293 -1.953461294 0.000000000 0.841980706 0.431223787 0.488319748
31 516 452 -0.492482672 -2.294621179 -0.022771943 -1.170592500 -1.765917336 -0.012995017 -0.772299897 -1.854353999 0.000000000 0.859916438 0.408199597 0.522160350
32 527 463 -0.593268326 -2.230331193 -0.041304001 -1.236461098 -1.636629038 -0.012248502 -0.859554651 -1.754783303 0.000000000 0.875798728 0.395182143 0.546589629
