# kf_a kf_b node_a node_b source rel_diff_t rel_diff_r_deg raw_vs_direct_t gt_vs_direct_t gt_vs_raw_t direct_x direct_y direct_z
0 1 0 59 rgbd_pnp_world_converted 0.110536112 3.835886823 0.110536112 0.029193050 0.095890393 0.256821954 -0.061013702 0.006754664
1 2 59 74 rgbd_pnp_world_converted 0.063469210 0.563228179 0.159769862 0.062310658 0.108497916 0.375521970 -0.142510795 0.007847620
2 3 74 89 rgbd_pnp_world_converted 0.066410578 0.674387198 0.226200725 0.094710125 0.141706847 0.479605361 -0.240607149 0.004118496
3 4 89 103 rgbd_pnp_world_converted 0.056824946 0.602871354 0.284064624 0.125653618 0.171787243 0.562911546 -0.346660765 0.002804067
4 5 103 118 rgbd_pnp_world_converted 0.058734639 0.686748561 0.346040080 0.160920477 0.205916751 0.637958299 -0.476830363 0.001444181
5 6 118 132 rgbd_pnp_world_converted 0.072869622 0.685637978 0.403958166 0.192866081 0.229991637 0.699090793 -0.609889831 0.006970331
6 7 132 145 rgbd_pnp_world_converted 0.068691491 0.525116570 0.456424693 0.222934003 0.250639643 0.754042873 -0.747510114 0.009952871
7 8 145 158 rgbd_pnp_world_converted 0.081439258 0.509283482 0.516579619 0.256852948 0.281078282 0.795842025 -0.902055115 0.010994841
8 9 158 170 rgbd_pnp_world_converted 0.075667816 0.601556378 0.574191270 0.286337312 0.332806072 0.848527929 -1.061500923 0.012310040
9 10 170 182 rgbd_pnp_world_converted 0.065039744 0.573128398 0.631231696 0.311399447 0.374458896 0.851322048 -1.209287707 0.009855423
10 11 182 193 rgbd_pnp_world_converted 0.089872334 0.654962745 0.685921914 0.337308678 0.427602224 0.846016038 -1.324148130 0.010425481
11 12 193 204 rgbd_pnp_world_converted 0.043272579 0.946032902 0.736496688 0.382232967 0.452924325 0.862635194 -1.464492005 -0.003647291
12 13 204 217 rgbd_pnp_world_converted 0.089185798 1.890863949 0.720281161 0.427677220 0.429950213 0.915402921 -1.635586001 -0.010938294
13 14 217 229 rgbd_pnp_world_converted 0.015380920 1.395326778 0.725501212 0.443387263 0.409156281 0.865969760 -1.736474489 -0.010388270
14 15 229 241 rgbd_pnp_world_converted 0.026336472 1.001954299 0.736395845 0.453521096 0.403053391 0.802908219 -1.830669213 -0.010333208
15 16 241 256 rgbd_pnp_world_converted 0.029049945 1.972148995 0.750823330 0.470052845 0.388091256 0.704010650 -1.948024307 -0.011984153
16 17 256 271 rgbd_pnp_world_converted 0.036639542 1.346783745 0.735602618 0.487165999 0.361595119 0.593365855 -2.052927610 -0.016066004
17 18 271 287 rgbd_pnp_world_converted 0.027116721 1.613644801 0.754599840 0.492288258 0.368107347 0.461792047 -2.148121535 -0.016765001
18 19 287 303 rgbd_pnp_world_converted 0.030355974 1.474664436 0.776338740 0.499828371 0.376181824 0.312097954 -2.228294580 -0.019485185
19 20 303 319 rgbd_pnp_world_converted 0.030779395 1.595958599 0.784534199 0.499031052 0.380413973 0.155509305 -2.285661013 -0.015507773
20 21 319 334 rgbd_pnp_world_converted 0.023315185 1.587230572 0.798173929 0.490857158 0.393760639 -0.002026665 -2.324292120 -0.013677434
21 22 334 349 rgbd_pnp_world_converted 0.033711961 1.531263792 0.821723452 0.491412263 0.409652527 -0.179017619 -2.343850587 -0.013945720
22 23 349 362 rgbd_pnp_world_converted 0.030977042 1.238750962 0.831110971 0.479824304 0.425914636 -0.335004544 -2.338228559 -0.011099304
23 24 362 375 rgbd_pnp_world_converted 0.035902054 1.191169481 0.837005075 0.476087256 0.429398738 -0.464012987 -2.316217750 -0.011583198
24 25 375 386 rgbd_pnp_world_converted 0.039017135 1.014190508 0.836840030 0.465947904 0.435125086 -0.583512414 -2.281256855 -0.011895119
25 26 386 396 rgbd_pnp_world_converted 0.040720395 0.784716961 0.837085917 0.457887808 0.441605073 -0.689262946 -2.235625680 -0.011812359
26 27 396 406 rgbd_pnp_world_converted 0.047514894 1.209806774 0.842461294 0.448284545 0.455454992 -0.788744876 -2.177258789 -0.011454162
27 28 406 415 rgbd_pnp_world_converted 0.051823476 0.779678110 0.823256970 0.439430221 0.450770252 -0.871989149 -2.114831506 -0.009879673
28 29 415 427 rgbd_pnp_world_converted 0.036610523 1.015139274 0.828390068 0.428523536 0.463389603 -0.983049072 -2.013354224 -0.012100881
29 30 427 439 rgbd_pnp_world_converted 0.064208171 1.032495225 0.841980706 0.431223787 0.488319748 -1.088033147 -1.902689860 -0.016542417
30 31 439 452 rgbd_pnp_world_converted 0.041654685 1.500454639 0.859916438 0.408199597 0.522160350 -1.170592500 -1.765917336 -0.012995017
31 32 452 463 rgbd_pnp_world_converted 0.031101456 0.545023545 0.875798728 0.395182143 0.546589629 -1.236461098 -1.636629038 -0.012248502
32 33 463 476 rgbd_pnp_world_converted 0.028439675 1.505321435 0.867985948 0.365921435 0.564819231 -1.286994847 -1.486195421 -0.000578113
33 34 476 488 rgbd_pnp_world_converted 0.018182146 1.435527124 0.873468188 0.350694933 0.579787066 -1.329073769 -1.324293095 0.002788921
34 35 488 499 rgbd_pnp_world_converted 0.020930031 1.340844567 0.883177406 0.335500929 0.600361383 -1.347877066 -1.164669478 0.003866320
35 36 499 509 rgbd_pnp_world_converted 0.029438135 1.050716942 0.901268048 0.319947038 0.628752973 -1.345304728 -1.006250050 0.001932584
36 37 509 518 rgbd_pnp_world_converted 0.028572248 0.733325105 0.903664025 0.302250754 0.646262139 -1.328604585 -0.887442710 0.001451243
37 38 518 528 rgbd_pnp_world_converted 0.038268494 0.533098587 0.916374116 0.286742535 0.668759166 -1.299438284 -0.773290303 0.000488855
38 39 528 538 rgbd_pnp_world_converted 0.044734914 1.030454816 0.933912438 0.267387195 0.699463406 -1.256266138 -0.667710522 0.000463538
39 40 538 547 rgbd_pnp_world_converted 0.036287776 0.442257279 0.934125183 0.248608851 0.713577341 -1.206954278 -0.581552550 0.002090482
40 41 547 556 rgbd_pnp_world_converted 0.029810484 0.594611754 0.936463581 0.235301668 0.726137996 -1.148517979 -0.492230117 0.003347073
41 42 556 565 rgbd_pnp_world_converted 0.030423369 0.826472499 0.926145950 0.222229930 0.728100676 -1.079278825 -0.412470341 0.004862147
42 43 565 577 rgbd_pnp_world_converted 0.044062816 1.048659951 0.932539830 0.209820976 0.746198458 -0.972883651 -0.311767612 0.005574828
43 44 577 588 rgbd_pnp_world_converted 0.032913118 0.578134236 0.921326723 0.199711266 0.747851664 -0.863373944 -0.229880484 0.004860921
